Wall time,Step,Value
1609467514.340215,12138,0.09138696640729904
1609467612.976476,12164,0.09135112911462784
1609467687.543028,12184,0.09132351726293564
1609468124.851407,12290,0.09117651730775833
1609468620.6583185,12405,0.0910157710313797
1609468848.637708,12458,0.09094125032424927
1609469718.2502568,12671,0.09063896536827087
1609471590.6496687,12877,0.09034239500761032
1609471846.8677084,12939,0.09025232493877411
1609472183.5685005,13017,0.09013848751783371
1609472257.180622,13034,0.09011359512805939
1609472372.9410408,13061,0.09007400274276733
1609472464.6774912,13082,0.09004316478967667
1609472515.6962535,13094,0.09002552181482315
1609472579.8749452,13109,0.09000345319509506
1609473108.0738103,13239,0.08981125801801682
1609473737.9581566,13402,0.08956798911094666
1609473756.3067195,13406,0.08956198394298553
1609474161.6693704,13504,0.08941446989774704
1609474334.7199152,13546,0.08935096859931946
1609474553.1249168,13597,0.08927363157272339
1609474653.189183,13620,0.08923867344856262
1609474889.9613159,13679,0.08914877474308014
1609475403.311501,13810,0.08894799649715424
1609475696.2907975,13884,0.08883386105298996
1609476522.7371151,14080,0.08852910250425339
1609477091.892393,14221,0.08830765634775162
1609477350.6040509,14287,0.08820337057113647
1609477379.6485784,14294,0.08819228410720825
1609477484.1168787,14320,0.08815107494592667
1609477554.0173123,14338,0.08812250941991806
1609477792.59553,14397,0.08802866190671921
1609478002.570871,14447,0.08794888854026794
1609478788.5659733,14632,0.08765172958374023
1609478813.3397655,14638,0.08764203637838364
1609478929.6471734,14668,0.08759354054927826
1609478965.974818,14677,0.08757897466421127
1609479005.694503,14687,0.08756278455257416
1609479366.5781512,14779,0.08741339296102524
1609479403.3782656,14788,0.08739873766899109
1609479490.819999,14809,0.08736450970172882
1609479741.6299102,14873,0.08725996315479279
1609479818.7119465,14892,0.08722885698080063
1609480653.3758008,15090,0.08690275996923447
1609481018.520461,15180,0.08675337582826614
1609481358.9102204,15266,0.08660995960235596
1609481589.5966108,15324,0.08651287108659744
1609482203.8509462,15473,0.08626209944486618
1609482211.8869145,15475,0.08625872433185577
1609482348.516735,15507,0.08620460331439972
1609482477.5536487,15538,0.0861520990729332
1609483294.768072,15740,0.08580788969993591
1609483388.857648,15764,0.0857667624950409
1609483638.749607,15828,0.08565683662891388
1609484320.4492795,15993,0.08537182211875916
1609484746.7588372,16095,0.08519446849822998
1609484828.4653616,16116,0.0851578414440155
1609485340.617062,16249,0.08492502570152283
1609485619.064221,16321,0.08479837328195572
1609485703.0041354,16343,0.08475958555936813
1609485772.9376082,16360,0.08472958207130432
1609485970.289877,16406,0.08464828878641129
1609486385.5514476,16505,0.08447272330522537
1609487166.9433298,16697,0.08412992209196091
1609487608.960018,16809,0.08392854779958725
1609487800.9958074,16857,0.08384193480014801
1609487976.7521636,16899,0.08376599103212357
1609488689.4189694,17066,0.08346261084079742
1609488819.0440745,17097,0.08340604603290558
1609489377.9178967,17239,0.08314596116542816
1609489505.5277097,17272,0.08308528363704681
1609489578.9309533,17292,0.08304847031831741
1609489675.9969575,17317,0.08300241082906723
1609489766.7859359,17339,0.08296183496713638
1609490213.7270055,17444,0.08276764303445816
1609490627.9567285,17543,0.08258375525474548
1609490689.0887327,17557,0.08255769312381744
1609490804.049102,17586,0.08250364661216736
1609490833.8495154,17594,0.08248873054981232
1609490948.3837988,17623,0.08243460208177567
1609491338.8895555,17722,0.08224932104349136
1609492287.6712785,17953,0.08181405812501907
1609492405.6433218,17981,0.08176102489233017
1609492560.8692157,18018,0.08169084787368774
1609492747.17567,18065,0.08160155266523361
1609493526.5495222,18264,0.08122161030769348
1609493745.299728,18318,0.08111799508333206
1609494305.5075436,18451,0.08086186647415161
1609494310.276524,18452,0.08085993677377701
1609494897.9847832,18592,0.08058889210224152
1609495404.355528,18720,0.08033982664346695
1609495930.970138,18845,0.08009543269872665
1609496419.4008634,18958,0.07987353205680847
1609496789.4141896,19048,0.07969613373279572
1609497050.1837409,19116,0.07956171780824661
1609497254.6127064,19169,0.07945672422647476
1609498637.9705765,19271,0.07925409823656082
1609499647.8705146,19525,0.07874634861946106
1609499671.1043203,19531,0.07873430103063583
1609500131.8122528,19640,0.07851498574018478
1609500190.6362646,19654,0.07848675549030304
1609500522.398121,19731,0.07833126187324524
1609500546.0708985,19737,0.07831913232803345
1609500985.046956,19846,0.07809828221797943
1609501345.483397,19938,0.07791125029325485
1609501475.1287413,19971,0.07784402370452881
1609501572.459396,19995,0.07779508829116821
1609501742.3406625,20035,0.07771343737840652
1609501819.2784922,20053,0.07767666131258011
1609501844.6348646,20059,0.07766439765691757
1609501857.1627274,20062,0.0776582658290863
1609502180.2823415,20138,0.07750270515680313
1609502184.7951856,20139,0.07750065624713898
1609502382.2830756,20186,0.07740426063537598
1609502517.951532,20217,0.07734059542417526
1609502629.019417,20244,0.07728509604930878
1609502641.0552742,20247,0.07727892696857452
1609502661.1600192,20252,0.07726864516735077
1609502945.3913975,20323,0.07712243497371674
1609503181.653062,20383,0.07699862867593765
1609503408.6337311,20440,0.0768807902932167
1609503590.4538834,20485,0.07678761333227158
1609503754.223981,20526,0.07670260220766068
1609503807.676948,20539,0.07667562365531921
1609503812.5401387,20540,0.07667354494333267
1609503906.9119735,20562,0.07662786543369293
1609503975.0348732,20578,0.07659462839365005
1609504533.5414112,20710,0.07631976902484894
1609504817.9342368,20779,0.07617565244436264
1609504828.9514842,20782,0.07616937905550003
1609504832.7844837,20783,0.0761672854423523
1609505027.5319777,20831,0.07606684416532516
1609505126.016114,20855,0.07601656764745712
1609506060.8024092,21080,0.07554347068071365
1609506326.9613838,21144,0.07540833204984665
1609506605.7400086,21209,0.07527082413434982
1609506699.5680683,21232,0.07522210478782654
1609507032.6289928,21316,0.07504390925168991
1609507044.3723714,21319,0.07503753900527954
1609507065.8581307,21324,0.07502691447734833
1609507332.3019614,21391,0.07488444447517395
1609507404.385111,21409,0.07484611868858337
1609507703.361517,21484,0.07468623667955399
1609507861.3941329,21523,0.07460296154022217
1609508525.4517398,21681,0.07426468282938004
1609508699.1287856,21724,0.07417236268520355
1609508987.1786013,21795,0.07401970028877258
1609509087.9556653,21821,0.0739637240767479
1609509168.0223901,21842,0.07391847670078278
1609509190.59582,21848,0.07390554994344711
1609509814.7032752,22006,0.07356429100036621
1609510794.6809607,22245,0.07304539531469345
1609510987.0944166,22292,0.07294297963380814
1609511130.4474056,22330,0.07286008447408676
1609511241.5347745,22358,0.072798952460289
1609511698.9520953,22472,0.07254961878061295
1609511979.5554023,22544,0.07239178568124771
1609512344.724094,22635,0.07219189405441284
1609512880.1685367,22765,0.07190556824207306
1609513186.1799634,22840,0.07173997163772583
1609513534.1508844,22930,0.07154087722301483
1609513545.7596285,22933,0.07153423130512238
1609514358.5914998,23138,0.07107912749052048
1609514395.5268588,23148,0.07105687260627747
1609514523.6699018,23182,0.07098116725683212
1609514561.3125951,23192,0.07095889002084732
1609514662.840971,23218,0.07090094685554504
1609514830.2587128,23263,0.07080058008432388
1609514916.3992183,23286,0.07074923813343048
1609515201.9944232,23361,0.07058164477348328
1609515455.7520812,23427,0.07043392956256866
1609515883.9806845,23540,0.07018053531646729
1609516067.3855402,23589,0.07007046043872833
1609516370.7486994,23670,0.06988824158906937
1609516411.558392,23681,0.06986347585916519
1609516486.4905298,23701,0.0698184221982956
1609517389.9908867,23938,0.0692831426858902
1609517925.3563755,24079,0.0689634382724762
1609518075.390447,24118,0.06887484341859818
1609518185.9494293,24147,0.06880892813205719
1609518520.7307973,24234,0.06861094385385513
1609518701.0768776,24282,0.0685015618801117
1609518708.4986427,24284,0.06849700212478638
1609518855.8952377,24322,0.06841033697128296
1609518941.460885,24345,0.06835784763097763
1609519212.6273131,24416,0.06819567084312439
1609519754.588074,24557,0.06787294894456863
1609520001.8121538,24621,0.06772618740797043
1609520374.65248,24719,0.06750111281871796
1609520404.100883,24727,0.06748271733522415
1609521062.8597772,24901,0.06708204746246338
1609521193.098942,24934,0.06700591742992401
1609521480.9218528,25008,0.06683503091335297
1609521630.2766898,25047,0.06674488633871078
1609521965.7649136,25133,0.06654588133096695
1609522356.508833,25231,0.06631875038146973
1609522410.0593894,25244,0.06628859043121338
1609522446.5827448,25253,0.0662677064538002
1609522750.8140419,25332,0.06608426570892334
1609522989.7403948,25391,0.06594711542129517
1609523441.454991,25505,0.06568171828985214
1609523499.2709455,25520,0.06564676016569138
